author,Methodological research,Open source development,Clinical evidence generation,Open community data standards,paperCount
"Mayer, C",0,0,0,2,2
"Mazzaglia, G",1,0,0,1,2
"McClay, J",0,0,0,2,2
"McKhann, G",1,0,1,0,2
"Melton, G",1,0,0,1,2
"Mentch, F",1,0,0,1,2
"Mercadé-Besora, N",0,0,2,0,2
"Michel-Backofen, A",0,1,0,1,2
"Miller, R",1,0,0,1,2
"Modre-Osprian, R",0,1,0,1,2
"Mohan, S",0,0,0,2,2
"Molinaro, A",2,0,0,0,2
"Moll, K",2,0,0,0,2
"Montell-Serrano, J",0,0,0,2,2
"Moon, J",0,0,1,1,2
"Mooney, S",0,1,1,0,2
"Mooses, K",0,1,0,1,2
"Morgan Stewart, H",1,0,1,0,2
"Morgan-Stewart, H",0,0,2,0,2
"Moride, Y",2,0,0,0,2
"Morris, A",0,0,0,2,2
"Morris, C",0,0,0,2,2
"Moussa, M",0,0,0,2,2
"Mui, J",0,0,0,2,2
"Mungall, C",0,0,2,0,2
"Murray, G",1,1,0,0,2
"Muschelli, J",1,0,1,0,2
"Nadal-Almela, S",0,0,0,2,2
"Nair, V",2,0,0,0,2
"Nam, S",0,0,2,0,2
"Nassirian, A",0,1,0,1,2
"Natsiavas, P",0,0,2,0,2
"Nestor, J",0,0,0,2,2
"Neugut, A",1,0,1,0,2
"Neumann, A",1,0,1,0,2
"Neururer, S",0,1,0,1,2
"Nissim, N",2,0,0,0,2
"Nordeng, H",0,0,2,0,2
"Norén, G",0,1,0,1,2
"Oliver-Garcia, E",0,0,0,2,2
"Oskotsky, B",0,2,0,0,2
"Paeng, J",0,0,1,1,2
"Pang, C",1,0,0,1,2
