name	paperCount	firstYear
Popoff, B	5	2021
Posada, J	16	2020
Prats, C	5	2021
Prats-Uribe, A	30	2019
Pratt, N	26	2015
Praveen, P	3	2021
Prieto Alhambra, D	2	2024
Prieto-Alhambra, D	85	2019
Prinsen, P	2	2024
Prokosch, H	10	2018
Prud'hommeaux, E	3	2017
Puente, D	2	2021
Puttmann, D	4	2022
Qian, Z	2	2021
Qin, P	2	2024
Quinlan, P	2	2022
Qureshi, N	4	2021
Racoosin, J	3	2010
Rajwa, P	2	2024
Ramcharran, D	3	2017
Ramirez, A	2	2021
Ramírez-Anguita, J	13	2022
Rao, G	17	2020
Rao, S	3	2025
Rappoport, N	2	2019
Rasmussen, L	6	2019
Rassen, J	3	2020
Raventós, B	4	2022
Razzaghi, H	2	2017
Recalde, M	10	2021
Rees, J	2	2020
Reese, J	3	2022
Reeves, R	4	2020
Reich, C	64	2010
Reinecke, I	17	2020
Reisberg, S	5	2022
Rekkas, A	5	2022
Remmers, S	2	2024
Reps, J	43	2015
Reyes, C	13	2021
Rhee, H	3	2022
Rhee, S	7	2022
Rho, Y	4	2020
Ribal, M	2	2024
Richter, L	3	2023
Rijnbeek, P	83	2014
Rinner, C	3	2018
Rivera, D	3	2021
Robinson, D	2	2019
Robinson, P	4	2021
Roel, E	10	2021
Rogers, J	4	2019
Roh, J	3	2019
Roh, Y	2	2021
Rohatsch, L	2	2024
Roobol, M	2	2024
Rosen, A	6	2022
Rosenberg, M	2	2020
Rosenthal, N	4	2018
Ross, J	4	2019
Rouhizadeh, M	2	2021
Rubin, K	2	2020
Ruddy, K	4	2019
Rudrapatna, V	2	2019
Rueda, M	2	2022
Ruhnke, T	2	2023
Rusanov, A	2	2017
Rutter, J	2	2021
Ryan, P	188	2010
Ryoo, H	3	2022
Ryu, B	5	2020
Salmasian, H	2	2018
Saltz, J	3	2021
Santos, R	3	2022
Sanz, F	3	2024
Särg, D	2	2023
Sarkar, I	3	2022
Sathappan, S	3	2020
Sato, A	3	2024
Sauermann, S	3	2024
Savulescu, C	3	2024
Schaaf, J	3	2023
Schilling, L	16	2014
Schneider, H	2	2023
Schreier, G	3	2024
Schuemie, M	120	2011
Schuler, A	2	2018
Schüttler, J	2	2018
Schwenk, H	3	2025
Schwinn, J	2	2025
Seager, S	15	2020
Sedlmayr, M	32	2018
Seinen, T	7	2022
Sen, A	2	2016
Sena, A	26	2019
Seneviratne, M	2	2018
Seo, S	10	2020
Seo, W	3	2022
Seol, S	2	2023
Serre, P	2	2020
Setoguchi, S	4	2018
Shah, K	7	2021
Shah, N	44	2013
Shahar, Y	2	2016
Shahn, Z	2	2014
Shang, N	8	2016
Shao, Y	2	2021
Sharma, D	3	2017
Shea, S	3	2020
Sheikh, A	3	2022
Sheikhalishahi, S	2	2025
Sheils, N	2	2022
Shervey, M	3	2018
Shin, D	2	2016
Shin, H	2	2021
Shin, S	7	2019
Shin, W	6	2020
Shin, Y	2	2023
Shoaibi, A	17	2020
Sholle, E	2	2020
Si, Y	2	2017
Siapos, A	2	2020
Siebel, J	2	2022
Sills, M	3	2025
Silverstein, J	2	2021
Simon, K	5	2023
Simpson, S	3	2013
Singh, B	2	2022
Sivesind, T	2	2022
Smith, D	2	2018
Smith, E	2	2024
Smith, L	2	2024
Snijder, R	2	2024
Sohn, J	2	2020
Sohrabi, K	2	2018
Solbrig, H	3	2017
Son, S	5	2020
Song, E	2	2022
Song, J	3	2021
Song, S	2	2020
Song, W	3	2021
Song, X	2	2021
Song, Y	2	2025
Sontag, D	3	2017
Spoden, M	2	2023
Spotnitz, M	17	2020
Spratt, H	4	2021
Stamm, T	2	2024
Stang, P	22	2010
Steinbeisser, C	4	2022
Stephens, K	2	2020
Stewart, H	3	2021
Stewart, L	2	2021
Steyerberg, E	4	2021
Stocking, J	2	2024
Stöhr, M	2	2020
Storf, H	4	2018
Straatman, H	2	2012
Stratmann, K	2	2024
Strauss, V	7	2019
Sturkenboom, M	6	2012
Su, C	3	2018
Subbian, V	6	2021
Subirats, P	3	2024
Suchard, M	80	2013
Sui, J	3	2024
Sulieman, L	2	2021
Sun, F	2	2025
Sun, H	2	2015
Sun, Y	7	2018
Sung, C	3	2021
Sung, J	2	2021
Sunwoo, L	2	2024
Šuvalov, H	2	2023
Suver, C	2	2021
Swaminathan, S	2	2025
Swerdel, J	22	2017
Szuldrzynski, K	2	2024
Ta, C	10	2018
Tak, Y	2	2021
Talvik, H	2	2023
Tamm, S	2	2023
Tan, E	10	2021
Tan, H	2	2022
Tandon, N	3	2021
Tang, G	2	2025
Tang, H	3	2025
Tannier, X	2	2023
Tarr, S	2	2022
Tatonetti, N	22	2014
Tavernier, B	2	2021
Taylor, A	3	2023
Taylor, B	4	2025
Taylor, R	2	2025
Tcharaktchiev, D	4	2023
Tchetgen Tchetgen, E	2	2016
Teufel, A	2	2023
Thangaraj, P	4	2019
Thiel, J	2	2024
Thun, S	2	2021
Thurin, N	4	2020
Tian, Y	5	2018
Tietzova, I	3	2024
Tiwari, P	2	2020
Todd, J	5	2023
Toh, S	2	2016
Tohen, M	2	2016
Tong, J	12	2020
Topaloglu, U	2	2021
Torre, C	5	2020
Toth, E	2	2020
Toy, B	3	2024
Trifirò, G	5	2012
Trinh, N	7	2023
Tsafnat, G	2	2023
Tsiknakis, M	2	2023
Tsouchnika, A	3	2022
Tsuji, S	3	2019
Turkiewicz, A	2	2022
Twagirumukiza, M	2	2015
Umbel, K	2	2020
Urwin, E	2	2022
Utidjian, L	4	2016
Uusküla, A	6	2024
Valdivieso, B	2	2024
Valentini, G	2	2022
Valveny, N	2	2021
van Bochove, K	3	2021
van der Lei, J	9	2012
Van Hemelrijck, M	3	2022
van Mulligen, E	7	2022
van Nuland, R	2	2024
van Sandijk, S	3	2023
Van Speybroeck, M	4	2019
Van Zandt, M	10	2018
Vanguri, R	2	2016
Vashisht, R	5	2018
Vaterkowski, M	2	2023
Vawdrey, D	2	2018
Verhamme, K	19	2021
Viernes, B	8	2019
Vilagut, G	2	2024
Vilar, S	2	2014
Vilo, J	4	2022
Visweswaran, S	3	2021
Vizcaya, D	10	2020
Vojinovic, D	2	2024
Voss, E	20	2014
Waitman, L	3	2020
Walbech, J	2	2022
Walden, A	5	2016
Waldman, G	2	2022
Walters, K	3	2021
Walunas, T	2	2019
Wan, E	3	2021
Wang, F	4	2019
Wang, H	3	2025
Wang, J	2	2018
Wang, L	9	2018
Wang, S	4	2016
Wang, X	3	2022
Wang, Y	8	2017
Wang, Z	3	2018
Ward, R	2	2024
Warner, J	4	2017
Weaver, J	17	2018
Weber, G	2	2020
Wei, W	6	2018
Weidner, J	4	2022
Weill, A	3	2020
Weinreb, R	2	2025
Weinstein, R	5	2016
Weiskopf, N	5	2015
Weissman, S	2	2024
Welebob, E	4	2010
Wen, A	6	2019
Wen, H	3	2020
Weng, C	33	2016
Westlund, E	2	2024
White, R	2	2014
Wiest, I	2	2023
Wilcox, A	5	2020
Wiley, K	2	2019
Willemse, P	3	2024
Williams, A	23	2015
Williams, D	5	2022
Williams, J	2	2020
Williams, R	23	2019
Wolfien, M	6	2022
Wong, I	9	2015
Wong, J	3	2022
Woo, S	3	2021
